figmaVariableName,mode,value,type,alias,defaultMode
components/avatar/properties/elevation,1,brand/elevations/elevation-0,STRING,true,false
components/avatar/properties/elevation,2,brand/elevations/elevation-0,STRING,true,false
components/avatar/properties/elevation,3,brand/elevations/elevation-0,STRING,true,false
components/badge/variants/styles/primary-color/properties/colors/background,0,brand/palettes/palette-1/400/color/tone,COLOR,true,true
components/badge/variants/styles/primary-color/properties/colors/background,1,brand/palettes/palette-1/400/color/tone,COLOR,true,false
components/badge/variants/styles/primary-color/properties/colors/background,2,brand/palettes/palette-1/400/color/tone,COLOR,true,false
components/badge/variants/styles/primary-color/properties/colors/background,3,brand/palettes/palette-1/400/color/tone,COLOR,true,false
components/badge/variants/styles/primary-color/properties/colors/text,0,brand/palettes/palette-1/400/color/on-tone,COLOR,true,true
components/badge/variants/styles/primary-color/properties/colors/text,1,brand/palettes/palette-1/400/color/on-tone,COLOR,true,false
components/badge/variants/styles/primary-color/properties/colors/text,2,brand/palettes/palette-1/400/color/on-tone,COLOR,true,false
components/badge/variants/styles/primary-color/properties/colors/text,3,brand/palettes/palette-1/400/color/on-tone,COLOR,true,false
components/badge/variants/styles/primary-color/properties/colors/border-color,0,brand/palettes/palette-1/400/color/on-tone,COLOR,true,true
components/badge/variants/styles/primary-color/properties/colors/border-color,1,brand/palettes/palette-1/400/color/on-tone,COLOR,true,false
components/badge/variants/styles/primary-color/properties/colors/border-color,2,brand/palettes/palette-1/400/color/on-tone,COLOR,true,false
components/badge/variants/styles/primary-color/properties/colors/border-color,3,brand/palettes/palette-1/400/color/on-tone,COLOR,true,false
components/badge/variants/styles/warning/properties/colors/background,0,brand/palettes/core-colors/warning/tone,COLOR,true,true
components/badge/variants/styles/warning/properties/colors/background,1,brand/palettes/core-colors/warning/tone,COLOR,true,false
components/badge/variants/styles/warning/properties/colors/background,2,brand/palettes/core-colors/warning/tone,COLOR,true,false
components/badge/variants/styles/warning/properties/colors/background,3,brand/palettes/core-colors/warning/tone,COLOR,true,false
components/badge/variants/styles/warning/properties/colors/text,0,brand/palettes/core-colors/white/tone,COLOR,true,true
components/badge/variants/styles/warning/properties/colors/text,1,brand/palettes/core-colors/white/tone,COLOR,true,false
components/badge/variants/styles/warning/properties/colors/text,2,brand/palettes/core-colors/white/tone,COLOR,true,false
components/badge/variants/styles/warning/properties/colors/text,3,brand/palettes/core-colors/white/tone,COLOR,true,false
components/badge/variants/styles/warning/properties/colors/border-color,0,brand/palettes/core-colors/white/tone,COLOR,true,true
components/badge/variants/styles/warning/properties/colors/border-color,1,brand/palettes/core-colors/white/tone,COLOR,true,false
components/badge/variants/styles/warning/properties/colors/border-color,2,brand/palettes/core-colors/white/tone,COLOR,true,false
components/badge/variants/styles/warning/properties/colors/border-color,3,brand/palettes/core-colors/white/tone,COLOR,true,false
components/badge/variants/styles/success/properties/colors/background,0,brand/palettes/core-colors/success/tone,COLOR,true,true
components/badge/variants/styles/success/properties/colors/background,1,brand/palettes/core-colors/success/tone,COLOR,true,false
