collection,figmaVariableName,mode,value,type,alias,defaultMode
layer,components/dropdown/properties/border-radius,3,ui-kit/globals/form/field/size/border-radius,FLOAT,true,false
layer,components/dropdown/properties/min-height,0,ui-kit/globals/form/field/size/single-line-input-height,FLOAT,true,true
layer,components/dropdown/properties/min-height,1,ui-kit/globals/form/field/size/single-line-input-height,FLOAT,true,false
layer,components/dropdown/properties/min-height,2,ui-kit/globals/form/field/size/single-line-input-height,FLOAT,true,false
layer,components/dropdown/properties/min-height,3,ui-kit/globals/form/field/size/single-line-input-height,FLOAT,true,false
layer,components/dropdown/properties/horizontal-padding,0,ui-kit/globals/form/field/size/horizontal-padding,FLOAT,true,true
layer,components/dropdown/properties/horizontal-padding,1,ui-kit/globals/form/field/size/horizontal-padding,FLOAT,true,false
layer,components/dropdown/properties/horizontal-padding,2,ui-kit/globals/form/field/size/horizontal-padding,FLOAT,true,false
layer,components/dropdown/properties/horizontal-padding,3,ui-kit/globals/form/field/size/horizontal-padding,FLOAT,true,false
layer,components/dropdown/properties/vertical-padding,0,ui-kit/globals/form/field/size/vertical-padding,FLOAT,true,true
layer,components/dropdown/properties/vertical-padding,1,ui-kit/globals/form/field/size/vertical-padding,FLOAT,true,false
layer,components/dropdown/properties/vertical-padding,2,ui-kit/globals/form/field/size/vertical-padding,FLOAT,true,false
layer,components/dropdown/properties/vertical-padding,3,ui-kit/globals/form/field/size/vertical-padding,FLOAT,true,false
layer,components/dropdown/properties/icon-size,0,ui-kit/globals/form/field/size/icon,FLOAT,true,true
layer,components/dropdown/properties/icon-size,1,ui-kit/globals/form/field/size/icon,FLOAT,true,false
layer,components/dropdown/properties/icon-size,2,ui-kit/globals/form/field/size/icon,FLOAT,true,false
layer,components/dropdown/properties/icon-size,3,ui-kit/globals/form/field/size/icon,FLOAT,true,false
layer,components/dropdown/properties/icon-text-gap,0,ui-kit/globals/form/field/size/icon-text-gap,FLOAT,true,true
layer,components/dropdown/properties/icon-text-gap,1,ui-kit/globals/form/field/size/icon-text-gap,FLOAT,true,false
layer,components/dropdown/properties/icon-text-gap,2,ui-kit/globals/form/field/size/icon-text-gap,FLOAT,true,false
layer,components/dropdown/properties/icon-text-gap,3,ui-kit/globals/form/field/size/icon-text-gap,FLOAT,true,false
layer,components/dropdown/properties/max-width,0,ui-kit/globals/form/field/size/max-width,FLOAT,true,true
layer,components/dropdown/properties/max-width,1,ui-kit/globals/form/field/size/max-width,FLOAT,true,false
layer,components/dropdown/properties/max-width,2,ui-kit/globals/form/field/size/max-width,FLOAT,true,false
layer,components/dropdown/properties/max-width,3,ui-kit/globals/form/field/size/max-width,FLOAT,true,false
layer,components/dropdown/properties/min-width,0,180,FLOAT,false,true
layer,components/dropdown/properties/min-width,1,180,FLOAT,false,false
layer,components/dropdown/properties/min-width,2,180,FLOAT,false,false
layer,components/dropdown/properties/min-width,3,180,FLOAT,false,false
layer,components/dropdown/properties/text/font-family,0,tokens/font/typefaces/primary,STRING,true,true
layer,components/dropdown/properties/text/font-family,1,tokens/font/typefaces/primary,STRING,true,false
layer,components/dropdown/properties/text/font-family,2,tokens/font/typefaces/primary,STRING,true,false
layer,components/dropdown/properties/text/font-family,3,tokens/font/typefaces/primary,STRING,true,false
layer,components/dropdown/properties/text/font-size,0,tokens/font/sizes/md,FLOAT,true,true
layer,components/dropdown/properties/text/font-size,1,tokens/font/sizes/md,FLOAT,true,false
layer,components/dropdown/properties/text/font-size,2,tokens/font/sizes/md,FLOAT,true,false
layer,components/dropdown/properties/text/font-size,3,tokens/font/sizes/md,FLOAT,true,false
layer,components/dropdown/properties/text/font-weight,0,tokens/font/weights/regular,FLOAT,true,true
layer,components/dropdown/properties/text/font-weight,1,tokens/font/weights/regular,FLOAT,true,false
layer,components/dropdown/properties/text/font-weight,2,tokens/font/weights/regular,FLOAT,true,false
layer,components/dropdown/properties/text/font-weight,3,tokens/font/weights/regular,FLOAT,true,false
